epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6365,1.11634,3.33129,1.43864,0.00323,0.63889,0.03503,0.00824,2.27388,4.28962,3.47376,0.08812,0.00012,0.00012
2,64.8951,1.16384,3.0755,1.48563,0.00358,0.64167,0.09594,0.03354,1.90212,4.05371,2.72652,0.0752475,0.000247525,0.000247525
3,98.6273,1.15202,2.7186,1.44789,0.00339,0.57056,0.04263,0.01074,2.32883,4.01927,3.00371,0.0623725,0.000372476,0.000372476
4,130.393,1.17577,2.75569,1.51223,0.80556,0.24444,0.28014,0.14445,1.43036,3.42803,1.9369,0.0494949,0.000494853,0.000494853
5,162.998,1.24838,2.52735,1.49923,0.31364,0.47125,0.41729,0.22759,1.38778,2.87934,1.82578,0.0366147,0.000614656,0.000614656
6,194.871,1.15637,2.39787,1.44672,0.54669,0.48259,0.42097,0.23655,1.51573,2.8498,2.0413,0.0237319,0.000731885,0.000731885
7,225.673,1.23962,2.32416,1.51236,0.52015,0.45343,0.49902,0.29988,1.42769,3.40549,2.01929,0.0108465,0.00084654,0.00084654
8,257.204,1.17379,2.22545,1.4506,0.88012,0.28,0.45933,0.23258,1.50451,3.89511,2.14522,0.0009307,0.0009307,0.0009307
9,289.357,1.1503,2.38938,1.4762,0.73366,0.35369,0.4544,0.23999,1.35024,3.1449,1.95748,0.0009208,0.0009208,0.0009208
10,325.093,1.0808,2.05268,1.35984,0.22758,0.53413,0.38237,0.20452,1.42839,4.00332,1.92998,0.0009109,0.0009109,0.0009109
11,355.235,1.17442,2.0988,1.44896,0.32752,0.47703,0.43542,0.22132,1.72942,4.72654,2.21032,0.000901,0.000901,0.000901
12,385.236,1.14582,2.1452,1.40074,0.70945,0.38667,0.50533,0.26327,1.519,3.04805,2.00719,0.0008911,0.0008911,0.0008911
13,415.33,1.01852,1.89882,1.35502,0.63288,0.3929,0.49675,0.24684,1.53053,3.31453,2.08633,0.0008812,0.0008812,0.0008812
14,445.412,1.10898,1.9536,1.36517,0.59318,0.36722,0.41826,0.19901,1.80409,4.55665,2.42725,0.0008713,0.0008713,0.0008713
15,475.35,1.06585,1.92336,1.36813,0.78623,0.37,0.50921,0.28546,1.40739,3.84491,1.98578,0.0008614,0.0008614,0.0008614
16,505.23,0.9948,1.85358,1.3423,0.51925,0.51802,0.54626,0.33546,1.34601,2.97469,1.92844,0.0008515,0.0008515,0.0008515
17,535.011,1.06137,1.87206,1.34257,0.64251,0.61325,0.60448,0.36601,1.42496,2.32274,1.94099,0.0008416,0.0008416,0.0008416
18,564.796,0.99398,1.80916,1.34531,0.67556,0.64183,0.63276,0.36905,1.43774,2.51247,1.95466,0.0008317,0.0008317,0.0008317
19,594.426,1.01519,1.74033,1.35351,0.72136,0.62214,0.64264,0.39729,1.48597,2.50159,1.99385,0.0008218,0.0008218,0.0008218
20,625.05,1.05802,1.8369,1.38915,0.77345,0.5489,0.62838,0.37598,1.56802,2.11572,1.98331,0.0008119,0.0008119,0.0008119
21,654.706,0.96896,1.69134,1.28173,0.71438,0.47062,0.5785,0.29146,1.66799,2.21394,2.05692,0.000802,0.000802,0.000802
22,684.567,1.08584,1.80344,1.36341,0.44912,0.42524,0.41921,0.20766,1.65713,2.45769,2.0852,0.0007921,0.0007921,0.0007921
23,714.349,1.00571,1.62029,1.28283,0.56049,0.4946,0.53182,0.28465,1.71539,2.43691,2.18659,0.0007822,0.0007822,0.0007822
24,744.145,0.98046,1.60587,1.29155,0.55919,0.58387,0.57654,0.32134,1.61442,2.2993,2.12146,0.0007723,0.0007723,0.0007723
25,773.765,1.01114,1.53663,1.30511,0.60238,0.5655,0.62907,0.36567,1.47054,2.09256,2.03641,0.0007624,0.0007624,0.0007624
26,803.441,1.01648,1.60764,1.33491,0.87241,0.53079,0.66208,0.38061,1.49023,2.07508,2.08203,0.0007525,0.0007525,0.0007525
27,833.037,0.97405,1.59338,1.33102,0.7185,0.65511,0.70393,0.44051,1.52955,2.09373,2.10205,0.0007426,0.0007426,0.0007426
28,863.946,0.98317,1.50062,1.3248,0.59684,0.70175,0.67879,0.43056,1.48376,2.16244,1.95866,0.0007327,0.0007327,0.0007327
29,897.964,0.90614,1.56987,1.25382,0.79646,0.55245,0.6786,0.42875,1.45223,2.12,1.91133,0.0007228,0.0007228,0.0007228
30,930.892,1.04095,1.64744,1.36408,0.7659,0.50734,0.65636,0.42399,1.38094,2.13437,1.85868,0.0007129,0.0007129,0.0007129
31,961.961,0.9069,1.37514,1.20003,0.82019,0.50889,0.6504,0.40661,1.34063,2.03389,1.87343,0.000703,0.000703,0.000703
32,992.104,0.98683,1.53782,1.27242,0.86905,0.50889,0.65172,0.41496,1.29932,1.9388,1.81791,0.0006931,0.0006931,0.0006931
33,1022.24,0.90582,1.43637,1.26667,0.92262,0.50354,0.69091,0.42635,1.26154,1.92058,1.76447,0.0006832,0.0006832,0.0006832
34,1051.94,0.86945,1.37252,1.21294,0.69176,0.60229,0.66905,0.43346,1.33553,1.94818,1.81957,0.0006733,0.0006733,0.0006733
35,1081.85,0.87202,1.45355,1.19823,0.73868,0.53968,0.67357,0.4344,1.46486,1.90277,1.94984,0.0006634,0.0006634,0.0006634
36,1111.55,0.93465,1.49982,1.28957,0.81699,0.54353,0.63914,0.39733,1.52492,2.03183,1.97333,0.0006535,0.0006535,0.0006535
37,1141.31,0.90863,1.33898,1.23365,0.84409,0.52482,0.64049,0.39026,1.47852,2.10134,1.90934,0.0006436,0.0006436,0.0006436
38,1171.01,0.73844,1.25168,1.14729,0.81663,0.55333,0.63078,0.41967,1.33273,2.1385,1.78339,0.0006337,0.0006337,0.0006337
39,1201.94,0.88253,1.40213,1.28505,0.90337,0.54589,0.64967,0.41545,1.36769,2.14098,1.86238,0.0006238,0.0006238,0.0006238
40,1232.99,0.85248,1.33039,1.18655,0.87178,0.54422,0.64554,0.39699,1.35687,2.03925,1.90387,0.0006139,0.0006139,0.0006139
41,1263.85,0.89901,1.41584,1.29852,0.85311,0.58085,0.63426,0.38854,1.3278,2.22054,1.90471,0.000604,0.000604,0.000604
42,1298.15,0.86028,1.281,1.20676,0.74321,0.58085,0.61128,0.37701,1.38006,2.26172,1.93905,0.0005941,0.0005941,0.0005941
43,1329.06,0.83977,1.32292,1.20304,0.84099,0.53581,0.63634,0.38854,1.48742,2.14811,2.06019,0.0005842,0.0005842,0.0005842
44,1360.1,0.83098,1.26738,1.16852,0.86267,0.64767,0.72058,0.44037,1.51747,1.89768,2.08133,0.0005743,0.0005743,0.0005743
45,1391.01,0.75332,1.2152,1.16416,0.9251,0.62324,0.74512,0.45116,1.53189,1.75727,2.12252,0.0005644,0.0005644,0.0005644
46,1422.15,0.87784,1.25239,1.21944,0.94883,0.64366,0.75601,0.45081,1.50553,1.66262,2.14077,0.0005545,0.0005545,0.0005545
