epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3414.8,0.71071,0.75148,1.10851,0.66495,0.53975,0.61721,0.35853,1.60231,1.85911,2.21118,0.000660045,0.000660045,0.000660045
43,3492.27,0.73094,0.71372,1.13287,0.82928,0.55857,0.66167,0.42645,1.43963,1.8243,1.9142,0.000649046,0.000649046,0.000649046
44,3570.14,0.76166,0.82137,1.17055,0.75858,0.55697,0.65703,0.41636,1.44048,2.0161,1.91356,0.000638047,0.000638047,0.000638047
45,3647.71,0.7522,0.73256,1.15806,0.64233,0.71336,0.65743,0.39898,1.48638,2.01519,1.99518,0.000627048,0.000627048,0.000627048
46,3727.3,0.71611,0.76948,1.13172,0.62159,0.53574,0.61758,0.33298,1.63353,2.03832,2.18007,0.000616049,0.000616049,0.000616049
47,3805.28,0.6764,0.67315,1.09868,0.64124,0.72434,0.67888,0.358,1.78248,1.89725,2.39485,0.000605051,0.000605051,0.000605051
48,3883.37,0.71942,0.74673,1.13626,0.78746,0.60016,0.70225,0.36261,1.83541,1.91725,2.5543,0.000594052,0.000594052,0.000594052
49,3960.87,0.69454,0.68722,1.15427,0.89739,0.58733,0.71152,0.38845,1.81002,1.9032,2.55204,0.000583053,0.000583053,0.000583053
50,4038.7,0.72204,0.68191,1.12721,0.70494,0.56179,0.69183,0.40795,1.70024,1.79606,2.33999,0.000572054,0.000572054,0.000572054
51,4116.63,0.72406,0.72752,1.12913,0.49114,0.67064,0.62281,0.38719,1.65302,1.84916,2.20855,0.000561055,0.000561055,0.000561055
52,4197.96,0.76095,0.73365,1.20655,0.86135,0.5446,0.67136,0.42243,1.58053,1.95891,2.0941,0.000550056,0.000550056,0.000550056
53,4276.91,0.65562,0.67978,1.09072,0.91038,0.59107,0.68441,0.42486,1.53467,1.95815,2.03418,0.000539057,0.000539057,0.000539057
